Period,MAE,RMSE,R2
Training,2.884291511817141,3.660074265948095,0.5144502743042341
Validation,5.0197096703050965,6.552985482590759,-0.5391630419371742
Testing,4.6123224394280635,5.829458853186476,0.11126764368061293
