t,shore,Hs,Tp,Dir,Eng
20/12/1999,,1.12018325,8.86335625,26.54748875,5.449697978
21/12/1999,,1.8707525,8.43457875,192.996175,14.46412432
22/12/1999,,0.725941875,6.0113075,238.21555,1.55227521
23/12/1999,,0.4608735,8.198,42.63325,0.853232655
24/12/1999,,0.58312775,6.590355,142.747575,1.098075768
25/12/1999,376.3535554,0.789057375,4.30358625,231.88575,1.312936609
26/12/1999,,0.611024875,6.31730875,107.367525,1.155702266
27/12/1999,,0.490689875,8.38514375,75.9127375,0.989283546
28/12/1999,,0.591673125,9.80053875,67.5373125,1.681162587
29/12/1999,,0.380711625,10.07602375,46.5034625,0.715611875
30/12/1999,,0.735467,4.04408,27.0183125,1.071870208
31/12/1999,,1.5499575,7.6158075,51.161852,8.965027333
1/01/2000,,0.9921245,7.78113375,3.83677425,3.752937305
2/01/2000,,1.089155,6.0680725,252.0907291,3.527168604
3/01/2000,,0.862005875,5.7092025,307.39525,2.078700779
4/01/2000,,0.83683775,8.2721925,286.045125,2.838567581
5/01/2000,,0.55057775,14.070025,160.7885866,2.089913265
6/01/2000,,0.547632625,9.676305,174.6778576,1.42194977
7/01/2000,,0.59442575,8.70512125,223.641785,1.507183509
8/01/2000,,0.541120875,8.84014125,60.1781825,1.268363865
9/01/2000,,0.549596125,6.8826575,39.9159,1.018684182
10/01/2000,,0.826554125,6.2139225,74.102225,2.080197201
11/01/2000,,0.848253875,6.01418875,83.3826125,2.120434387
12/01/2000,,0.940466125,8.18753125,82.1446875,3.548422831
13/01/2000,,0.654982875,8.62647375,54.325175,1.813381896
14/01/2000,,0.61346225,8.51964,42.6878875,1.571060864
15/01/2000,,0.65524675,7.27292625,40.491225,1.530083088
16/01/2000,,0.998224375,7.4629,38.630125,3.643846244
17/01/2000,,0.81889225,8.0806975,32.39505,2.655207409
18/01/2000,,0.70538625,7.09611,16.8297775,1.730096783
19/01/2000,,0.734375875,7.13546875,13.778525,1.885625277
20/01/2000,,0.625003125,9.80053875,140.4595125,1.875903129
21/01/2000,,0.500455375,9.81340625,18.1098325,1.204332965
22/01/2000,,0.791759375,4.91838125,49.319926,1.510792079
23/01/2000,,0.921693375,4.467245,225.7704563,1.859553952
24/01/2000,,1.186375,5.490615,3.22999,3.786701268
25/01/2000,,0.920566,6.26046625,139.674613,2.599636464
26/01/2000,,0.791185625,8.7565225,41.71415,2.685867128
27/01/2000,,0.76257625,9.694965,35.8139375,2.762541915
28/01/2000,,1.05522025,10.07602375,14.59710125,5.49757922
29/01/2000,,1.57453625,6.32271625,95.373575,7.680775997
30/01/2000,,1.72794375,7.577935,339.755625,11.08679857
31/01/2000,,1.093717375,5.238335,301.14525,3.070432623
1/02/2000,,0.7388285,4.27190875,285.305625,1.142629223
2/02/2000,,0.7003075,5.101045,213.7352,1.225837181
3/02/2000,,0.415246125,7.36092125,157.067065,0.621927024
4/02/2000,,0.651043,3.96676625,264.33525,0.823857381
5/02/2000,,0.44092425,5.45515375,259.21925,0.519674067
6/02/2000,,0.581583875,4.92251,243.8399125,0.81584452
7/02/2000,,0.741340125,4.41694125,262.29475,1.189467873
8/02/2000,,0.5023085,6.0891175,136.503925,0.752820591
9/02/2000,,0.536229625,4.2608225,209.222825,0.600331497
10/02/2000,,0.396116875,8.7217,104.3138838,0.67056968
11/02/2000,,0.5889025,8.7333075,45.9746375,1.484094747
12/02/2000,,0.617694625,7.577935,46.358475,1.416754499
13/02/2000,,0.779764,9.195465,39.8653625,2.739656648
14/02/2000,,0.980328875,10.7197,43.5344375,5.048034343
15/02/2000,,1.0216505,6.9632125,48.0447375,3.561315359
16/02/2000,,1.059450625,8.63808125,62.7004125,4.75088817
17/02/2000,,1.068110875,8.7217,134.8018013,4.87562054
18/02/2000,,0.672403125,7.87749875,32.0714625,1.745194635
19/02/2000,,0.492266875,7.8241475,140.2529888,0.929039832
20/02/2000,,0.363056125,9.4323475,61.83991913,0.609204929
21/02/2000,,0.524487125,5.30645875,224.3157375,0.715270866
22/02/2000,,0.64023375,4.58338125,72.1715625,0.920575033
23/02/2000,,0.574414875,13.98407,65.318975,2.260898288
24/02/2000,,0.61389,9.7078325,46.0083625,1.792666374
25/02/2000,,0.806865,9.56365625,118.835925,3.05085658
26/02/2000,,0.537888125,8.40119875,48.0350625,1.191026027
27/02/2000,,0.523921625,7.48601125,90.6972125,1.006883454
28/02/2000,,0.587655125,8.61486625,110.3241288,1.457772238
29/02/2000,,0.52859175,8.7217,38.449425,1.194092541
1/03/2000,,1.173138875,7.752375,62.2532625,5.227929296
2/03/2000,,1.80057625,9.31390625,29.918325,14.79622671
3/03/2000,,0.737670625,8.18753125,21.6738625,2.183102012
4/03/2000,,0.618006,10.58839125,120.8943913,1.981579239
5/03/2000,,0.592860375,9.32677375,54.0795875,1.606321124
6/03/2000,,0.681392375,7.3608875,173.9204125,1.67463745
7/03/2000,,0.662874125,6.91576125,129.791225,1.489012027
8/03/2000,,0.592734,8.68969,54.8747625,1.495960212
9/03/2000,,0.625823625,10.87954125,52.5469125,2.087904214
10/03/2000,,0.598127,8.9585825,60.4698,1.570443051
11/03/2000,,0.45981425,8.0806975,58.5895375,0.83716253
12/03/2000,,0.964190125,8.277185,266.1989375,3.770544759
13/03/2000,,1.15635575,8.68967375,217.7273175,5.693541361
14/03/2000,375.7416103,0.65247225,6.64737625,110.861875,1.386661419
15/03/2000,,0.9027035,6.123525,264.37775,2.445050469
16/03/2000,,0.6123315,8.97019,59.12237125,1.648052053
17/03/2000,,0.39721725,7.86703,36.4280375,0.608223347
18/03/2000,,0.370855125,10.85705375,37.5161,0.731672341
19/03/2000,,0.53736375,5.61578875,221.77215,0.794590877
20/03/2000,,0.385149625,9.4323475,40.889375,0.68560635
21/03/2000,,0.516309625,7.81812,96.21046475,1.021218925
22/03/2000,,1.047846625,4.613065,180.946625,2.481881786
23/03/2000,,0.9045365,3.82188,138.2045,1.532234792
24/03/2000,,0.83167625,11.015945,143.1715,3.733588397
25/03/2000,,0.685779625,6.2505325,129.01045,1.440397149
26/03/2000,,0.573442375,6.38577,105.02735,1.028937314
27/03/2000,,0.49802375,18.02395,141.9249313,2.190514651
28/03/2000,,0.546912375,16.6335,15.8825125,2.437896271
29/03/2000,,0.7753635,11.46267125,5.100594375,3.376701127
30/03/2000,382.9493563,0.829684875,8.01751875,319.248625,2.704346965
31/03/2000,,0.42932425,9.80053875,22.5791875,0.885149992
1/04/2000,,0.43302775,9.31390625,60.37087625,0.855774614
2/04/2000,,0.523335375,9.195465,230.379025,1.234042053
3/04/2000,,1.14356675,6.033305,61.0078625,3.866111718
4/04/2000,,0.844708125,5.51984,23.7423375,1.929904916
5/04/2000,,0.99391175,4.9657475,13.7359,2.403678409
6/04/2000,,1.364295,6.087115,17.009225,5.55167663
7/04/2000,,1.176035,9.48315,39.948975,6.426717264
8/04/2000,,1.31107,11.302,60.8345875,9.519258992
9/04/2000,,1.393575,12.207075,55.5937,11.61631516
10/04/2000,,1.32566875,10.6947875,283.6335,9.209547186
11/04/2000,,0.6708605,10.07602375,56.1501875,2.222028913
12/04/2000,,0.612336875,9.66923,70.178125,1.776514669
13/04/2000,,0.525863625,8.9585825,50.1856125,1.213896444
14/04/2000,,0.555417125,8.40119875,54.1118625,1.269918562
15/04/2000,,0.578924875,8.7333075,55.2403125,1.434231488
16/04/2000,,0.63236,8.7217,50.21965,1.708936815
17/04/2000,,0.8538385,8.62647375,40.5523375,3.081632545
18/04/2000,,1.174597375,8.70298,35.8971625,5.883586156
19/04/2000,,1.5583075,7.1569825,18.6533075,8.515935376
20/04/2000,,0.94404175,10.7197,53.6581125,4.681242228
21/04/2000,,1.10484725,7.899575,145.8989875,4.725026895
22/04/2000,,0.756134625,6.99844375,340.288625,1.960630742
23/04/2000,,1.43668875,5.74712375,311.07825,5.812621056
24/04/2000,,1.350743375,5.82250875,318.482375,5.205373804
25/04/2000,,0.958943625,5.9482575,255.212875,2.680229565
26/04/2000,,0.700419,4.41611375,235.296375,1.061578633
27/04/2000,,0.235172875,4.861635,177.4452375,0.131750687
28/04/2000,,0.225601125,6.5053625,150.146325,0.162237074
29/04/2000,,0.25619725,9.0049625,32.99735,0.289618911
30/04/2000,,0.42392125,6.532065,57.75359375,0.57519745
1/05/2000,376.6031061,0.611087625,3.5311275,258.959,0.646124869
2/05/2000,,0.595886125,3.1981325,211.927125,0.556440944
3/05/2000,,0.641162125,6.82003625,133.8518875,1.37378409
4/05/2000,,0.572133125,9.4323475,43.7267875,1.512899427
5/05/2000,,0.6289895,9.6820975,38.2959375,1.876948355
6/05/2000,,0.7402875,8.6951425,31.0075,2.334928662
7/05/2000,,1.75721,6.67001625,341.422,10.09183879
8/05/2000,,1.0352575,8.47687,89.27824,4.451725466
9/05/2000,,1.02157975,7.50148125,58.7518125,3.836080033
10/05/2000,,0.99091975,7.770665,54.8204,3.738791403
11/05/2000,,1.95120375,9.10149875,48.3353125,16.97908325
12/05/2000,,1.81096125,10.4570825,28.482025,16.80447425
13/05/2000,,1.745155,8.350125,181.4190139,12.46111972
14/05/2000,,1.082098375,8.7217,294.1008563,5.004154548
15/05/2000,,1.103671875,7.41089125,339.334125,4.423300774
16/05/2000,,1.034326,6.54882375,279.75325,3.433003655
17/05/2000,,0.68921875,8.0624075,189.7098725,1.876614176
18/05/2000,,0.51206,8.7217,145.7498288,1.120569837
19/05/2000,,0.716291,4.32331125,307.366625,1.086904963
20/05/2000,,0.61357175,3.4143075,303.91175,0.629838818
21/05/2000,,0.659376125,5.3364375,252.8527719,1.136878212
22/05/2000,,0.961322625,7.770665,330.78425,3.518783882
23/05/2000,,0.599958625,7.385205,158.61855,1.302570497
24/05/2000,,0.4011175,6.922265,45.1973875,0.545742179
25/05/2000,,0.58848225,5.33791125,75.2153375,0.905803855
26/05/2000,,0.60603425,7.18736125,64.3244375,1.293480518
27/05/2000,,0.4280075,8.54969125,70.525875,0.76744855
28/05/2000,,0.457100375,8.3041225,60.348175,0.850184107
29/05/2000,,1.620046375,5.69834875,17.233075,7.328245312
30/05/2000,,1.46387125,7.7916025,15.7971175,8.181418928
31/05/2000,,1.54783875,7.6158075,64.71219013,8.940534186
1/06/2000,,2.19405,9.32677375,305.4167863,21.9998927
2/06/2000,,1.626005,7.85511875,350.472375,10.17636296
3/06/2000,,2.210535,7.50148125,342.025625,17.96130548
4/06/2000,,2.0636625,6.227665,290.684,12.99566979
5/06/2000,,1.297235375,4.54292625,271.55925,3.746013454
6/06/2000,,0.83081825,5.1043525,322.780875,1.726429285
7/06/2000,,0.826515625,7.86703,317.359875,2.633352652
8/06/2000,,0.429478625,5.56589375,271.617625,0.503053413
9/06/2000,,0.168956625,2.615475,264.123875,0.036584498
10/06/2000,,0.8917925,5.12279,314.190125,1.99632049
11/06/2000,,1.053193375,5.83588,316.03025,3.171894036
12/06/2000,,0.70762125,6.9794375,276.2405,1.712451323
13/06/2000,,1.06303625,9.55078875,287.60725,5.288487328
14/06/2000,,0.5394015,5.84731,255.72575,0.833636072
15/06/2000,,0.23168875,2.381415,225.814875,0.062638458
16/06/2000,,0.266414,2.4225425,269.46325,0.084252262
17/06/2000,,0.604766375,3.61174,291.344875,0.647273507
18/06/2000,,0.877265,4.1593225,273.965375,1.56848468
19/06/2000,,0.344480875,2.6707575,246.015125,0.155296178
20/06/2000,,0.279147875,8.0806975,57.89075,0.308541497
21/06/2000,,0.521412875,7.385205,23.7579625,0.983834701
22/06/2000,,0.9868325,8.4348825,41.80715,4.024964044
23/06/2000,,1.1511575,10.58839125,48.3917375,6.875361774
24/06/2000,,1.40416875,10.7197,41.95505,10.35660276
25/06/2000,,1.5334225,8.11485875,34.302875,9.349765264
26/06/2000,,1.56943875,7.81367875,43.1794125,9.430622796
27/06/2000,,2.25134375,8.76699125,45.61965,21.77360175
28/06/2000,,3.15659125,11.0393825,39.17825,53.8986091
29/06/2000,,1.96199625,11.447575,37.1345,21.59264892
30/06/2000,,1.2272425,10.194465,41.7146875,7.523523686
1/07/2000,,1.69941,10.4984825,57.339325,14.85658348
2/07/2000,,2.2035325,10.06315625,71.85835,23.9424846
3/07/2000,,2.48235875,11.156425,90.013675,33.68606032
4/07/2000,,2.22121125,11.8843,90.4770375,28.73091222
5/07/2000,,1.89299625,11.9001125,88.9685,20.89520587
6/07/2000,,2.11302125,11.447575,76.5368625,25.04478495
7/07/2000,,2.0281925,11.59315,83.163625,23.36769524
8/07/2000,,1.54213375,12.207075,82.095725,14.22498368
9/07/2000,,0.832057375,12.52985,79.467925,4.250582997
10/07/2000,,0.480587125,12.3684625,90.7518625,1.399767998
11/07/2000,,0.57120475,10.1123425,87.3873,1.616707567
12/07/2000,,1.183713875,4.4728825,69.63355,3.070980411
13/07/2000,,1.5657225,6.58309375,40.6690125,7.907800516
14/07/2000,,2.185965,8.09116625,36.8370875,18.94495652
15/07/2000,,2.75218625,9.81340625,48.18465,36.42264656
16/07/2000,,2.87869875,11.915925,51.9507375,48.38561657
17/07/2000,,1.918305,9.694965,57.7264625,17.48145768
18/07/2000,,1.94323875,9.4323475,46.5042,17.45292396
19/07/2000,,1.7202775,8.41202375,31.8782125,12.1981393
20/07/2000,,1.79497,8.10277375,21.9398875,12.7921688
21/07/2000,,1.20883375,10.06315625,37.81495,7.205488835
22/07/2000,,1.28245,7.0646425,216.414825,5.693340436
23/07/2000,,0.979971375,6.85444375,268.469375,3.225485375
24/07/2000,,0.934511375,3.9256825,254.26375,1.679888419
25/07/2000,,0.80891275,3.8788675,281.68725,1.243667789
26/07/2000,,0.824719125,4.369695,322.126,1.456328459
27/07/2000,,1.7547925,7.16231,340.728,10.80689006
28/07/2000,,1.305695625,8.5080325,341.67225,7.107373163
29/07/2000,,0.82777625,7.86703,353.98675,2.641391706
30/07/2000,,0.692709125,6.4234675,198.7879816,1.510314627
31/07/2000,,0.735787,4.76537375,276.552375,1.264146099
1/08/2000,,0.315200375,6.55969875,145.0771025,0.319340077
2/08/2000,,0.3227075,4.24912,57.4652,0.216826917
3/08/2000,,0.878929125,4.99082,26.8165625,1.889190263
4/08/2000,,0.8551455,7.40409,35.6901,2.65306444
5/08/2000,364.7356779,0.917929125,6.28627875,110.3876875,2.595422197
6/08/2000,,0.591098375,10.485615,69.2087,1.795186272
7/08/2000,,0.64171125,10.6026575,60.16,2.139390775
8/08/2000,,0.662821875,7.33602875,210.3119625,1.579249582
9/08/2000,,0.57032925,5.3875975,310.880875,0.858702078
10/08/2000,,1.45327125,5.985005,337.829625,6.193754133
11/08/2000,,1.31515625,6.80054375,326.24475,5.763607865
12/08/2000,,0.817561375,5.3438975,265.04875,1.750229221
13/08/2000,,0.6232365,4.1792375,215.45185,0.795424369
14/08/2000,,0.27161625,3.2931775,224.1305,0.119048168
