dates,observation,Yates,,,special_dates
27/12/1999,331.4426457,328.80496,,,31/12/2007
28/12/1999,331.4340878,328.95038,,,16/01/2008
29/12/1999,331.4242083,329.02582,,,25/02/2008
30/12/1999,331.4156851,328.79398,,,4/03/2008
31/12/1999,331.4085184,328.19296,,,8/06/2008
1/01/2000,331.402708,327.75085,,,10/07/2008
2/01/2000,331.3982539,328.12906,,,27/08/2008
3/01/2000,331.3951563,328.18155,,,14/10/2008
4/01/2000,331.393415,328.72342,,,15/11/2008
5/01/2000,331.3930301,328.76083,,,1/12/2008
6/01/2000,331.3940015,329.13297,,,25/12/2008
7/01/2000,331.3963294,329.20114,,,7/03/2009
8/01/2000,331.4000136,328.90347,,,10/05/2009
9/01/2000,331.4050542,328.31473,,,13/07/2009
10/01/2000,331.4114511,327.81168,,,29/07/2009
11/01/2000,331.4192044,326.74405,,,4/12/2009
12/01/2000,331.4283141,326.9011,,,13/01/2010
13/01/2000,331.4387802,327.78513,,,29/01/2010
14/01/2000,331.4506027,327.7037,,,22/02/2010
15/01/2000,331.4637815,326.9365,,,30/06/2010
16/01/2000,331.4783167,326.63644,,,2/09/2010
17/01/2000,331.4942082,326.84256,,,18/09/2010
18/01/2000,331.5114562,327.20865,,,4/10/2010
19/01/2000,331.5300605,327.7121,,,12/10/2010
20/01/2000,331.5500212,327.4956,,,24/01/2011
21/01/2000,331.5713382,327.32376,,,9/02/2011
22/01/2000,331.5940116,327.90012,,,13/03/2011
23/01/2000,331.6180414,329.3516,,,29/03/2011
24/01/2000,331.6434276,330.33105,,,16/05/2011
25/01/2000,331.6701701,331.40048,,,3/07/2011
26/01/2000,331.6982691,331.24326,,,19/07/2011
27/01/2000,331.7277244,330.586,,,20/08/2011
28/01/2000,331.758536,330.2865,,,5/09/2011
29/01/2000,331.7907041,330.5383,,,13/09/2011
30/01/2000,331.8242285,329.65482,,,21/09/2011
31/01/2000,331.8556329,329.19232,,,23/10/2011
1/02/2000,331.8849172,329.57318,,,24/11/2011
2/02/2000,331.9120816,329.6794,,,26/12/2011
3/02/2000,331.9371259,330.7164,,,27/01/2012
4/02/2000,331.9600502,330.922,,,2/05/2012
5/02/2000,331.9808544,330.68973,,,18/05/2012
6/02/2000,331.9995387,330.05725,,,3/06/2012
7/02/2000,332.0161029,329.80045,,,22/08/2012
8/02/2000,332.0305471,330.27286,,,23/09/2012
9/02/2000,332.0456825,330.64023,,,25/10/2012
10/02/2000,332.0615091,331.1732,,,12/12/2012
11/02/2000,332.0780269,331.46707,,,29/05/2013
12/02/2000,332.0952358,331.46732,,,6/06/2013
13/02/2000,332.113136,331.07767,,,22/06/2013
14/02/2000,332.1317273,332.09634,,,30/06/2013
15/02/2000,332.1510099,332.5051,,,16/07/2013
16/02/2000,332.1763466,332.12582,,,24/07/2013
17/02/2000,332.2077374,331.23648,,,25/08/2013
18/02/2000,332.2451824,330.77878,,,2/09/2013
19/02/2000,332.2886816,330.87134,,,26/09/2013
20/02/2000,332.3382349,331.06326,,,12/10/2013
21/02/2000,332.3938424,331.17404,,,28/10/2013
22/02/2000,332.455504,331.59885,,,13/11/2013
23/02/2000,332.5232197,331.54166,,,7/12/2013
24/02/2000,332.5969897,331.78064,,,16/01/2014
25/02/2000,332.6718778,332.2092,,,24/01/2014
26/02/2000,332.747884,332.92322,,,1/02/2014
27/02/2000,332.8250085,333.65567,,,25/02/2014
28/02/2000,332.9032511,332.42154,,,5/03/2014
29/02/2000,332.982612,330.91885,,,21/03/2014
1/03/2000,333.063091,330.38022,,,22/04/2014
2/03/2000,333.1446882,330.0345,,,30/04/2014
3/03/2000,333.2198567,329.71536,,,8/05/2014
4/03/2000,333.2885967,329.79095,,,24/05/2014
5/03/2000,333.350908,330.03952,,,1/06/2014
6/03/2000,333.4067907,330.41135,,,25/06/2014
7/03/2000,333.4562448,330.7402,,,3/07/2014
8/03/2000,333.4992703,330.53888,,,27/07/2014
9/03/2000,333.5358671,330.54968,,,4/08/2014
10/03/2000,333.5660354,330.69888,,,12/08/2014
11/03/2000,333.589775,330.0934,,,29/09/2014
12/03/2000,333.607086,330.4817,,,7/10/2014
13/03/2000,333.6179683,331.12976,,,31/10/2014
14/03/2000,333.6224221,331.33157,,,8/11/2014
15/03/2000,333.6204472,330.93918,,,2/12/2014
16/03/2000,333.6120437,331.51614,,,18/12/2014
17/03/2000,333.5972116,331.83298,,,26/12/2014
18/03/2000,333.5759509,331.45407,,,19/01/2015
19/03/2000,333.5482615,332.37854,,,12/02/2015
20/03/2000,333.5141435,332.21558,,,28/02/2015
21/03/2000,333.473597,332.11487,,,1/04/2015
22/03/2000,333.4266217,332.24265,,,9/04/2015
23/03/2000,333.3732179,332.20093,,,27/05/2015
24/03/2000,333.3133855,332.17865,,,12/06/2015
25/03/2000,333.2471244,331.7842,,,20/06/2015
26/03/2000,333.1744347,330.25238,,,22/07/2015
27/03/2000,333.0953164,329.4495,,,30/07/2015
28/03/2000,333.009126,329.436,,,23/08/2015
29/03/2000,332.9158635,329.55667,,,24/09/2015
30/03/2000,332.815529,329.11172,,,2/10/2015
31/03/2000,332.7081223,329.51904,,,10/10/2015
1/04/2000,332.5936436,330.12375,,,27/11/2015
2/04/2000,332.4720928,330.1838,,,13/12/2015
3/04/2000,332.34347,330.55594,,,6/01/2016
4/04/2000,332.2167701,329.99463,,,23/02/2016
5/04/2000,332.0919931,330.00687,,,2/03/2016
6/04/2000,331.9691392,329.1656,,,18/03/2016
7/04/2000,331.8482082,329.26797,,,26/03/2016
8/04/2000,331.7292002,329.95364,,,19/04/2016
9/04/2000,331.6121152,330.4632,,,27/04/2016
10/04/2000,331.4969531,330.97446,,,13/05/2016
11/04/2000,331.3837141,330.80646,,,29/05/2016
12/04/2000,331.272398,330.42517,,,6/06/2016
13/04/2000,331.1670948,330.22543,,,30/06/2016
14/04/2000,331.0678044,330.14178,,,8/07/2016
15/04/2000,330.974527,331.02145,,,24/07/2016
