window_size,num_heads,ff_dim,num_layers,dropout,initial_lr,batch_size,l2_weight,train_loss,val_loss
60,1,32,2,0.2,0.001,64,0.001,0.6587938666343689,1.1821258068084717
60,1,32,2,0.2,0.001,64,0.01,0.4775375723838806,1.317304253578186
60,1,32,2,0.2,0.01,64,0.001,0.6279359459877014,1.1551659107208252
60,1,32,2,0.2,0.01,64,0.01,0.40867725014686584,1.2133734226226807
60,1,32,2,0.4,0.001,64,0.001,0.7602373361587524,1.134808897972107
60,1,32,2,0.4,0.001,64,0.01,0.5644548535346985,1.3262072801589966
60,1,32,2,0.4,0.01,64,0.001,0.6432344317436218,1.1419157981872559
60,1,32,2,0.4,0.01,64,0.01,0.6253387928009033,1.353353500366211
60,1,32,3,0.2,0.001,64,0.001,0.7391206622123718,1.160617709159851
